Calendar Date,TD of Greatest Eclipse,Eclipse Type,Saros Series,Eclipse Magn.,Central Duration,Geographic Region of Eclipse Visibility
2005 Apr 08,20:36:51,Hybrid,129,1.007,00m42s,"New Zealand, N. & South America [Hybrid: s Pacific, Panama, Colombia, Venezuela]"
2005 Oct 03,10:32:47,Annular,134,0.958,04m32s,"Europe, Africa, s Asia [Annular: Portugal, Spain, Libia, Sudan, Kenya]"
2006 Mar 29,10:12:23,Total,139,1.052,04m07s,"Africa, Europe, w Asia [Total: c Africa, Turkey, Russia]"
2006 Sep 22,11:41:16,Annular,144,0.935,07m09s,"S. America, w Africa, Antarctica [Annular: Guyana, Suriname, F. Guiana, s Atlantic]"
2007 Mar 19,02:32:58,Partial,149,0.876,-,"Asia, Alaska"
2007 Sep 11,12:32:24,Partial,154,0.751,-,"S. America, Antarctica"
2008 Feb 07,03:56:10,Annular,121,0.965,02m12s,"Antarctica, e Australia, New Zealand [Annular: Antarctica]"
2008 Aug 01,10:22:12,Total,126,1.039,02m27s,"ne North America, Europe, Asia [Total: n Canada, Greenland, Siberia, Mongolia, China]"
2009 Jan 26,07:59:45,Annular,131,0.928,07m54s,"s Africa, Antarctica, se Asia, Australia [Annular: s Indian, Sumatra, Borneo]"
2009 Jul 22,02:36:25,Total,136,1.08,06m39s,"e Asia, Pacific Ocean, Hawaii [Total: India, Nepal, China, c Pacific]"
2010 Jan 15,07:07:39,Annular,141,0.919,11m08s,"Africa, Asia [Annular: c Africa, India, Malymar, China]"
2010 Jul 11,19:34:38,Total,146,1.058,05m20s,"s South America [Total: s Pacific, Easter Is., Chile, Argentina]"
2011 Jan 04,08:51:42,Partial,151,0.858,-,"Europe, Africa, c Asia"
2011 Jun 01,21:17:18,Partial,118,0.601,-,"e Asia, n North America, Iceland"
2011 Jul 01,08:39:30,Partial,156,0.097,-,s Indian Ocean
2011 Nov 25,06:21:25,Partial,123,0.905,-,"s Africa, Antarctica, Tasmania, New Zealand"
2012 May 20,23:53:54,Annular,128,0.944,05m46s,"Asia, Pacific, North America [Annular: China, Japan, Pacific, w U.S.]"
2012 Nov 13,22:12:55,Total,133,1.05,04m02s,"Australia, New Zealand, s Pacific, s South America [Total: n Australia, s Pacific]"
2013 May 10,00:26:20,Annular,138,0.954,06m03s,"Australia, New Zealand, c Pacific [Annular: n Australia, Solomon Is., c Pacific]"
2013 Nov 03,12:47:36,Hybrid,143,1.016,01m40s,"e Americas, s Europe, Africa [Hybid: Atlantic, c Africa]"
2014 Apr 29,06:04:33,Annular,148,0.987,-,"s Indian, Australia, Antarctica [Annular: Antarctica]"
2014 Oct 23,21:45:39,Partial,153,0.811,-,"n Pacific, North America"
2015 Mar 20,09:46:47,Total,120,1.045,02m47s,"Iceland, Europe, n Africa, n Asia [Total: n Atlantic, Faeroe Is, Svalbard]"
2015 Sep 13,06:55:19,Partial,125,0.787,-,"s Africa, s Indian, Antarctica"
2016 Mar 09,01:58:19,Total,130,1.045,04m09s,"e Asia, Australia, Pacific [Total: Sumatra, Borneo, Sulawesi, Pacific]"
2016 Sep 01,09:08:02,Annular,135,0.974,03m06s,"Africa, Indian Ocean [Annular: Atlantic, c Africa, Madagascar, Indian]"
2017 Feb 26,14:54:33,Annular,140,0.992,00m44s,"s South America, Atlantic, Africa, Antarctica [Annular: Pacific, Chile, Argentina, Atlantic, Africa]"
2017 Aug 21,18:26:40,Total,145,1.031,02m40s,"North America, n South America [Total: n Pacific, U.S., s Atlantic]"
2018 Feb 15,20:52:33,Partial,150,0.599,-,"Antarctica, s South America"
2018 Jul 13,03:02:16,Partial,117,0.337,-,s Australia
2018 Aug 11,09:47:28,Partial,155,0.737,-,"n Europe, ne Asia"
2019 Jan 06,01:42:38,Partial,122,0.715,-,"ne Asia, n Pacific"
2019 Jul 02,19:24:07,Total,127,1.046,04m33s,"s Pacific, South America [Total: s Pacific, Chile, Argentina]"
2019 Dec 26,05:18:53,Annular,132,0.97,03m39s,"Asia, Australia [Annular: Saudi Arabia, India, Sumatra, Borneo]"
2020 Jun 21,06:41:15,Annular,137,0.994,00m38s,"Africa, se Europe, Asia [Annular: c Africa, s Asia, China, Pacific]"
2020 Dec 14,16:14:39,Total,142,1.025,02m10s,"Pacific, s South America, Antarctica [Total: s Pacific, Chile, Argentina, s Atlantic]"
2021 Jun 10,10:43:07,Annular,147,0.944,03m51s,"n North America, Europe, Asia [Annular: n Canada, Greenland, Russia]"
2021 Dec 04,07:34:38,Total,152,1.037,01m54s,"Antarctica, S. Africa, s Atlantic [Total: Antarctca]"
2022 Apr 30,20:42:37,Partial,119,0.64,-,"se Pacific, s South America"
2022 Oct 25,11:01:20,Partial,124,0.862,-,"Europe, ne Africa, Mid East, w Asia"
2023 Apr 20,04:17:56,Hybrid,129,1.013,01m16s,"se Asia, East Indies, Australia, Philippines. New Zealand [Hybrid: Indonesia, Australia, Papua New Guinea]"
2023 Oct 14,18:00:41,Annular,134,0.952,05m17s,"North America, C. America, South America [Annular: w US, C. America, Colombia, Brazil]"
2024 Apr 08,18:18:29,Total,139,1.057,04m28s,"North America, C. America [Total: Mexico, c US, e Canada]"
2024 Oct 02,18:46:13,Annular,144,0.933,07m25s,"Pacific, s South America [Annular: s Chile, s Argentina]"
2025 Mar 29,10:48:36,Partial,149,0.938,-,"nw Africa, Europe, n Russia"
2025 Sep 21,19:43:04,Partial,154,0.855,-,"s Pacific, New Zealand, Antarctica"
2026 Feb 17,12:13:06,Annular,121,0.963,02m20s,"s Argentina & Chile, s Africa, Antarctica [Annular: Antarctica]"
2026 Aug 12,17:47:06,Total,126,1.039,02m18s,"n North America, w Africa, Europe [Total: Arctic, Greenland, Iceland, Spain]"
2027 Feb 06,16:00:48,Annular,131,0.928,07m51s,"South America, Antarctica, w & s Africa [Annular: Chile, Argentina, Atlantic]"
2027 Aug 02,10:07:50,Total,136,1.079,06m23s,"Africa, Europe, Mid East, w & s Asia [Total:Morocco, Spain, Algeria, Libya, Egypt, Saudi Arabia, Yemen, Somalia]"
2028 Jan 26,15:08:59,Annular,141,0.921,10m27s,"e North America, C. & South America, w Europe, nw Africa [Annular: Ecuador, Peru, Brazil, Suriname, Spain, Portugal]"
2028 Jul 22,02:56:40,Total,146,1.056,05m10s,"SE Asia, East Indies, Australia, New Zealand [Total: Australia, New Zealand]"
2029 Jan 14,17:13:48,Partial,151,0.871,-,"North America, C. America"
2029 Jun 12,04:06:13,Partial,118,0.458,-,"Arctic, Scandanavia, Alaska, n Asia, n Canada"
2029 Jul 11,15:37:19,Partial,156,0.23,-,"s Chile, s Argentina"
2029 Dec 05,15:03:58,Partial,123,0.891,-,"s Argentina, s Chile, Antarctica"
2030 Jun 01,06:29:13,Annular,128,0.944,05m21s,"Europe, n Africa, Mid East, Asia, Arctic, Alaska [Annular: Algeria, Tunisia, Greece, Turkey, Russia, n China, Japan]"
2030 Nov 25,06:51:37,Total,133,1.047,03m44s,"s Africa, s Indian Oc., East Indies, Australia, Antarctica [Total: Botswana, S. Africa, Australia]"
